-96[dB],0x0084
-95[dB],0x0095
-94[dB],0x00a7
-93[dB],0x00bb
-92[dB],0x00d2
-91[dB],0x00ec
-90[dB],0x0109
-89[dB],0x0129
-88[dB],0x014d
-87[dB],0x0176
-86[dB],0x01a4
-85[dB],0x01d7
-84[dB],0x0208
-83[dB],0x0228
-82[dB],0x024d
-81[dB],0x0275
-80[dB],0x02a3
-79[dB],0x02d6
-78[dB],0x0308
-77[dB],0x0328
-76[dB],0x034c
-75[dB],0x0374
-74[dB],0x03a2
-73[dB],0x03d5
-72[dB],0x0407
-71[dB],0x0427
-70[dB],0x044b
-69[dB],0x0474
-68[dB],0x04a1
-67[dB],0x04d4
-66[dB],0x0506
-65[dB],0x0526
-64[dB],0x054a
-63[dB],0x0573
-62[dB],0x05a0
-61[dB],0x05d3
-60[dB],0x0606
-59[dB],0x0626
-58[dB],0x064a
-57[dB],0x0672
-56[dB],0x069f
-55[dB],0x06d2
-54[dB],0x0705
-53[dB],0x0725
-52[dB],0x0749
-51[dB],0x0771
-50[dB],0x079e
-49[dB],0x07d1
-48[dB],0x0804
-47[dB],0x0824
-46[dB],0x0848
-45[dB],0x0870
-44[dB],0x089d
-43[dB],0x08cf
-42[dB],0x0904
-41[dB],0x0924
-40[dB],0x0947
-39[dB],0x096f
-38[dB],0x099c
-37[dB],0x09ce
-36[dB],0x0a03
-35[dB],0x0a23
-34[dB],0x0a46
-33[dB],0x0a6e
-32[dB],0x0a9b
-31[dB],0x0acd
-30[dB],0x0b03
-29[dB],0x0b22
-28[dB],0x0b46
-27[dB],0x0b6d
-26[dB],0x0b9a
-25[dB],0x0bcc
-24[dB],0x0c02
-23[dB],0x0c21
-22[dB],0x0c45
-21[dB],0x0c6d
-20[dB],0x0c99
-19[dB],0x0ccb
-18[dB],0x0d01
-17[dB],0x0d21
-16[dB],0x0d44
-15[dB],0x0d6c
-14[dB],0x0d98
-13[dB],0x0dca
-12[dB],0x0e01
-11[dB],0x0e20
-10[dB],0x0e43
-9[dB],0x0e6b
-8[dB],0x0e97
-7[dB],0x0ec9
-6[dB],0x0f00
-5[dB],0x0f1f
-4[dB],0x0f43
-3[dB],0x0f6a
-2[dB],0x0f96
-1[dB],0x0fc8
 0[dB],0x0fff
CLIP,0x1fff
